GENEID	E13_5_CH_1_30208_ATTACT_sort.bam	E13_5_CH_2_30209_TCCGGA_sort.bam	E13_5_CH_4_30210_CGCTCA_sort.bam	E13_5_retina_1_30211_GAGATT_sort.bam	E13_5_retina_2_30212_ATTCAG_sort.bam	E13_5_retina_3_30213_GAATTC_sort.bam	E15_5_CH_1_30214_CTGAAG_sort.bam	E15_5_CH_2_30215_TAATGC_sort.bam	E15_5_CH_4_30216_CGGCTA_sort.bam	E15_5_retina_1_30217_TCCGCG_sort.bam	E15_5_retina_2_30218_TCTCGC_sort.bam	E15_5_retina_3_30219_AGCGAT_sort.bam
Gm64348	32.2303671941274	77.9716492588202	27.9471874174161	0	16.3834481823973	31.92457015801	16.9952008951712	0	0	43.3399398811469	50.3425914030158	15.5516883690478
Gm43713	0	0	0	12.4155777956628	13.4454880653008	0	0	0	27.9083609988916	0	13.7716371700233	12.7628834927417
Gm53242	26.1472634796987	37.9532490865665	0	12.2731676228242	13.291264531705	12.9495910234264	13.7875560963954	0	13.7941221204115	23.4400230987364	0	25.232979251552
Gm56793	866.420399409611	567.164508876963	574.507832397858	813.371755101229	595.864678406134	656.270533695352	752.486699797581	672.534098701593	806.619702041135	685.33482169781	716.461026430725	713.165026387106
Gm65858	0	0	0	0	0	0	0	0	0	0	0	0
Gm64550	20.8612526431207	0	90.4447246703398	0	0	0	55.0011077223095	75.0764127729203	0	18.7013162659635	10.8614908795192	20.1318029136758
Gm16069	0	0	0	0	0	0	0	0	0	0	0	0
Gm43737	0	0	0	0	0	0	0	0	0	0	9.52957083005993	0
Gm56795	0	0	0	0	0	0	0	0	0	0	0	0
Gm65476	0	0	0	0	0	94.0807408444386	0	0	0	0	98.9053942210765	91.6607087205998
Gm65899	0	0	0	0	0	0	0	0	0	0	0	0
Gm33845	23.9343547664948	30.8810400882531	13.8357695264077	14.9792780786362	0	23.7072690896581	50.4827220990514	0	92.5957328973724	14.3041566348636	58.1537284506998	53.8940469983037
Gm65905	0	0	0	0	0	0	0	0	0	0	0	0
Gm65883	31.6606384810999	428.922830165187	164.719028869316	118.888563134226	225.313784851858	94.0807408444386	166.947806773273	0	66.8109248155284	170.295319330971	98.9053942210765	183.3214174412
Gm15998	886.595219941146	615.478592796603	902.472896064938	389.015075528363	352.703779164169	200.454891330349	376.03678168209	231.211499239175	233.863913612541	112.308519589526	240.839576396903	148.798936831596
Gm66678	0	98.1055683935776	0	0	0	0	0	0	0	0	0	0
Gm34118	264.3472586434	401.976731540351	327.453491125748	124.080985319305	249.551498368624	205.730776665851	59.7391549538097	90.6042652139058	717.21125314019	220.050277087309	78.647662874591	36.4434143105999
Gm66682	152.897717542873	49.3186529458229	441.929101844506	95.6907947177916	207.257279445612	151.447046237389	107.498099971083	244.557854073307	215.098587210969	137.066964339562	53.0711871430167	98.3675898464974
4731419I09Rik	0	8.60453093948399	30.8410096606379	0	0	8.8075587173517	9.37749382726469	10.666885124474	0	7.97127026655609	0	8.58100251852424
Gm66683	0	0	0	0	0	0	0	0	0	0	0	0
Gm15417	0	0	0	0	10.7639600443956	0	0	0	0	3.163825777859	0	0
Gm66681	0	0	0	0	69.27349285818	0	0	0	0	0	0	0
Gm66676	48.1906963684134	0	0	15.0800355545014	0	15.9111566834925	0	19.2700935624707	50.8464949909338	57.6014917403925	0	15.5018751455723
Gm66677	91.2932973678317	0	211.096231172327	142.839414445247	123.750705688399	180.854239681542	0	0	0	27.2803181452526	0	117.468092729312
Gm66673	45.4261334728824	43.9579297995378	0	0	0	179.980547702404	95.8135238872696	0	0	162.891175012233	141.907739534588	43.8377302576782
Gm66684	0	0	0	0	0	0	0	0	0	0	0	0
Gm66674	0	0	0	23.2149265291684	0	0	0	0	0	0	0	0
Gm66679	76.2164914195474	0	0	143.099911857609	77.4852442912165	0	0	0	0	273.300694853352	0	147.102900317558
Gm66675	112.782124484398	109.136929157473	0	141.169028489216	191.099290643255	260.661482879344	356.822778614659	180.393499556322	277.660994885524	808.838937991778	469.763551562774	290.236007223249
Gm66100	0	0	0	0	0	0	0	0	0	0	16.5050721076891	0
Gm65528	0	0	0	0	0	0	0	0	0	0	0	0
4632404H12Rik	38.3608755895427	12.3736752928837	7.39177692019368	0	0	12.6656377271452	58.4359890714811	46.0182805471954	0	15.2840266202197	0	0
Gm66804	0	0	0	0	0	0	0	0	0	0	0	0
Gm65793	0	0	0	0	0	0	0	0	0	0	0	0
Gm66808	0	0	0	0	0	0	0	0	0	0	0	0
Gm64714	524.220745861277	549.550704253455	757.592746019153	1025.25851483348	799.420935004502	995.223446702842	552.847371279856	1572.1576333284	507.018098425856	744.077806414765	636.8542457162	885.308308618476
Gm42809	0	0	0	0	0	0	0	237.895909015071	0	0	0	0
Gm56796	8.57272672719012	33.1826013666254	14.8669482466665	0	34.8617372605952	0	45.2043292186093	0	0	7.68512210314126	0	8.27296653067978
Gm19710	0	0	0	0	0	0	0	0	0	0	0	0
Gm16540	0	0	0	0	0	0	0	0	0	0	0	0
Gm64751	0	0	0	0	0	0	0	0	0	0	0	0
Gm65016	4974.43748248795	5796.03990976254	4841.53906717098	5718.20295560568	6037.73179858663	4726.12887610443	3693.66953220478	5054.03063205342	4070.32711183834	6052.03365622374	6871.32212483268	6123.08378093076
Gm66066	0	0	0	0	0	0	0	0	0	0	0	0
Gm65083	0	0	0	0	0	0	0	0	0	0	0	0
4930537H20Rik	36.5261845259011	26.5092249628676	0	34.2897822295364	9.28355621697387	45.2245367496937	57.7812074134445	0	0	16.3721647135384	0	8.81224584932205
Gm45477	0	0	7.90938952737348	12.8446355950764	9.27342501702809	0	0	0	0	0	0	4.40131449658755
Gm45354	39.2260080986016	0	0	0	19.9394957933596	9.71345935976997	0	0	0	26.3734636116795	10.2115854807838	18.9272014878673
Gm65871	0	0	0	0	0	0	0	0	0	0	0	0
Gm16048	0	109.795372168981	0	0	0	0	0	0	0	0	118.149430200743	0
Gm56783	0	46.1892967944382	27.5925276786164	0	16.1755364034329	31.519436018949	0	0	0	0	49.7037260298811	15.3543319176639
Gm64458	0	0	0	0	0	0	0	0	0	0	0	0
Gm65566	0	0	0	0	0	0	0	0	0	0	0	0
Gm35185	0	0	0	0	0	0	0	0	0	0	0	0
Gm46837	0	0	0	0	0	0	0	0	0	0	0	0
Gm43736	0	0	0	0	0	0	0	0	0	0	0	0
4930511M18Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm66114	0	0	0	0	0	0	0	0	0	0	0	0
Gm35439	7.42639587650854	3.59318484367612	0	0	0	0	0	0	0	0	0	7.16671911809221
Gm65366	0	0	0	0	0	0	0	0	0	0	0	0
Gm37087	0	0	0	0	0	0	0	0	0	0	0	0
Gm37752	0	0	0	0	0	0	0	0	0	0	0	0
Gm66802	0	0	0	0	0	0	0	0	0	0	0	0
Gm64982	0	0	0	0	0	0	0	0	0	0	0	0
Gm35639	0	0	0	0	0	0	0	0	0	0	0	0
Gm35699	0	0	0	0	0	0	0	0	0	0	0	0
Gm38201	0	0	0	0	0	0	0	0	0	0	0	0
Gm65827	0	0	0	0	0	0	0	0	0	0	0	0
Gm35785	0	0	0	0	0	0	0	0	0	0	0	0
Gm37913	0	0	0	0	0	0	0	0	0	0	0	0
Gm37245	0	0	0	0	0	0	0	0	0	0	0	0
Gm37857	0	0	0	0	0	0	0	0	0	0	0	0
Gm66249	0	0	0	0	0	0	0	0	0	0	0	0
Gm56800	0	0	0	0	0	0	0	0	0	0	0	0
Gm65671	0	0	0	0	0	0	0	0	0	0	0	0
Gm65591	0	0	0	0	0	0	0	0	0	0	0	0
Gm40093	0	0	0	0	0	0	0	0	0	0	0	0
Gm64475	0	0	0	0	0	0	0	0	0	0	0	0
Gm38207	0	0	0	0	0	0	0	0	0	0	0	0
Gm64928	0	0	0	0	0	0	0	0	0	0	0	0
Gm36010	0	0	0	0	0	16.9306854689378	0	0	0	0	0	0
Gm65441	0	93.1469376174467	0	0	0	0	0	0	0	0	50.117128741582	0
Gm63946	0	0	0	0	0	0	0	0	0	0	0	0
Gm36070	0	0	0	0	0	0	0	0	0	0	0	0
Gm38411	0	0	0	23.2608058306094	0	0	0	0	0	0	0	0
1700040D17Rik	80.8878247646164	6.52278958315722	175.346062989917	56.951456856234	27.4114466363551	20.0300932120418	135.066161092699	48.5171226629302	7.11213070616915	48.3418971004047	35.0954624655433	91.0693493094992
Gm42463	0	0	0	0	0	0	0	18.4694736293594	0	0	0	0
Gm63948	0	0	0	0	32.9362343305042	32.0895550167077	0	38.8638450271534	0	0	0	0
Gm65458	0	0	0	0	0	0	0	0	0	0	0	0
Gm65215	130.373790348515	252.32004072109	0	0	0	0	183.324316068537	0	183.411620290809	0	0	0
Gm65218	374.25709965718	0	108.173690600745	0	0	0	0	0	0	0	0	0
Gm64473	0	0	0	0	0	0	0	0	0	39.5061197744959	0	0
Gm43773	11.5981617377572	11.2233012254139	40.2274039051798	10.8880367717746	0	45.9524802644437	0	0	48.9493547214602	0	24.1545088569512	33.5778359420514
Gm43774	1656.44998777654	2155.64080347255	1436.31991460533	1555.02990778297	1625.95460230225	2206.50411784588	1927.61968786416	2638.04947144452	783.468430410797	2022.59634394461	2200.70134567534	1763.89445847751
Gm43768	59.7978354778166	154.307009534784	34.5674273620822	74.8487615280659	20.2644239839509	0	84.0843643652987	23.9114595000133	42.0622038584249	0	103.779904906058	57.7069008797417
Gm66330	11701.7719826145	16568.6761823809	13441.0727557362	9130.64164870855	9064.05168775475	8329.28158942763	8334.03451412178	5286.89615442112	5932.81012361892	11443.8454590413	9916.91419389994	7919.48523345983
Gm65306	0	0	0	0	0	0	0	0	0	0	0	0
Gm15234	78.6409407433771	27.1782899298217	19.4828958877685	100.192377802634	22.8428721969626	0	0	20.2154677762209	11.8535511769486	55.3917570942137	35.0954624655433	59.6287406193149
BC021767	0	0	0	0	0	0	0	0	0	0	0	0
Gm66811	0	0	0	0	0	0	0	0	0	0	11.8202915682952	0
Gm52626	15.1055576367657	0	0	0	0	0	0	0	0	0	15.7295325749182	29.1547314484799
Gm65191	0	0	0	0	0	0	0	0	0	0	0	0
Gm65192	0	0	0	0	0	0	84.7581172848924	0	0	72.0480197169493	0	0
Gm65180	0	0	0	0	0	0	0	0	0	0	0	0
Gm65582	0	0	0	0	0	0	0	0	0	0	0	0
Gm65701	0	0	0	0	0	0	0	0	0	0	0	0
Gm36237	0	0	0	0	0	0	0	0	0	0	0	0
Gm64576	475.735506916005	287.724631415156	137.504580621342	427.998827283213	604.568664944116	451.587556053305	188.142919633184	261.570574356667	376.465037221412	373.168873664389	516.028143762138	325.196253547867
Gm65011	204.316653664698	35.9478181471776	64.4234424022213	139.495914077492	94.4172050807786	110.388069257475	58.765627984192	66.8458134467038	235.17445535066	216.464272571812	174.073493829095	161.322847348256
B230398E01Rik	1758.13367501809	1834.03587364516	1719.10640373406	2013.3609677271	1983.88811570776	1982.29196969694	1407.0437530775	1600.51015288851	1434.02623507582	2123.82228186015	1876.20237630315	1961.38419575577
A730011C13Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm15265	0	0	0	0	0	0	0	0	0	0	0	0
4930481B07Rik	0	0	0	0	31.7863408626063	7.7423053562755	0	0	0	7.00716401237162	0	0
Gm65661	0	0	0	0	0	0	0	0	0	0	0	0
Gm65650	0	0	0	0	0	0	0	0	0	0	0	0
Gm65664	0	0	0	0	0	0	0	0	0	0	0	0
Gm65655	0	0	59.0839994857329	31.9836080170879	0	168.731763471004	0	0	0	91.6262859443811	0	0
Gm65644	0	104.740045680625	125.139060781293	203.22246475318	220.080391699081	250.1600130655	152.198748736037	259.688771663454	0	323.438592110621	864.105832676801	557.086091562322
Gm66796	0	0	0	0	35.6042533125841	0	0	0	0	0	0	0
