genes	ranking	Gene.name.x	genes2	Final.CANDIDATES 1
ENSMUSG00000037339	887	Fam53a	FAM53A	AXON CONTRAS
ENSMUSG00000106414	888	Gm43320	GM43320	AXON CONTRAS
ENSMUSG00000048416	889	Mlf1	MLF1	AXON CONTRAS
ENSMUSG00000053216	890	Btn2a2	BTN2A2	AXON CONTRAS
ENSMUSG00000021903	891	Galnt15	GALNT15	AXON CONTRAS
ENSMUSG00000092009	892	Myh15	MYH15	AXON CONTRAS
ENSMUSG00000054452	893	Tle5	TLE5	AXON CONTRAS
ENSMUSG00000106018	894	Gm43527	GM43527	AXON CONTRAS
ENSMUSG00000042428	895	Mgat3	MGAT3	AXON CONTRAS
ENSMUSG00000085037	896	4933421O10Rik	4933421O10RIK	AXON CONTRAS
ENSMUSG00000020273	897	Papolg	PAPOLG	AXON CONTRAS
ENSMUSG00000040721	898	Zfhx2	ZFHX2	AXON CONTRAS
ENSMUSG00000087202	899	Gm15813	GM15813	AXON CONTRAS
ENSMUSG00000107205	900	Gm42576	GM42576	AXON CONTRAS
ENSMUSG00000036990	901	Otud4	OTUD4	AXON CONTRAS
ENSMUSG00000098142	902	Gm7507	GM7507	AXON CONTRAS
ENSMUSG00000027380	903	Acoxl	ACOXL	AXON CONTRAS
ENSMUSG00000034833	904	Tespa1	TESPA1	AXON CONTRAS
ENSMUSG00000088705	905	Gm25549	GM25549	AXON CONTRAS
ENSMUSG00000031861	906	Lpar2	LPAR2	AXON CONTRAS
ENSMUSG00000105340	907	Gm42878	GM42878	AXON CONTRAS
ENSMUSG00000043183	908	Simc1	SIMC1	AXON CONTRAS
ENSMUSG00000060671	909	Atp8b2	ATP8B2	AXON CONTRAS
ENSMUSG00000065022	910	AF357341	AF357341	AXON CONTRAS
ENSMUSG00000042225	911	Ammecr1	AMMECR1	AXON CONTRAS
ENSMUSG00000017291	912	Taok1	TAOK1	AXON CONTRAS
ENSMUSG00000020284	913	Cfap410	CFAP410	AXON CONTRAS
ENSMUSG00000025946	914	Pth2r	PTH2R	AXON CONTRAS
ENSMUSG00000013419	915	Zfp651	ZFP651	AXON CONTRAS
ENSMUSG00000030815	916	Phkg2	PHKG2	AXON CONTRAS
ENSMUSG00000024325	917	Ring1	RING1	AXON CONTRAS
ENSMUSG00000026349	918	Ccnt2	CCNT2	AXON CONTRAS
ENSMUSG00000089979	919	NA	NA	AXON CONTRAS
ENSMUSG00000027947	920	Il6ra	IL6RA	AXON CONTRAS
ENSMUSG00000105836	921	Gm17954	GM17954	AXON CONTRAS
ENSMUSG00000024308	922	Tapbp	TAPBP	AXON CONTRAS
ENSMUSG00000042340	923	Ctf1	CTF1	AXON CONTRAS
ENSMUSG00000047143	924	Dmrta2	DMRTA2	AXON CONTRAS
ENSMUSG00000059742	925	Kcnh7	KCNH7	AXON CONTRAS
ENSMUSG00000026109	926	Tmeff2	TMEFF2	AXON CONTRAS
ENSMUSG00000045394	927	Epcam	EPCAM	AXON CONTRAS
ENSMUSG00000090115	928	Usp49	USP49	AXON CONTRAS
ENSMUSG00000078452	929	Raet1d	RAET1D	AXON CONTRAS
ENSMUSG00000006649	930	Nphs1	NPHS1	AXON CONTRAS
ENSMUSG00000081270	931	Gm11653	GM11653	AXON CONTRAS
ENSMUSG00000059866	932	Tnip2	TNIP2	AXON CONTRAS
ENSMUSG00000026074	933	Map4k4	MAP4K4	AXON CONTRAS
ENSMUSG00000083606	934	Gm15916	GM15916	AXON CONTRAS
ENSMUSG00000024940	935	Ltbp3	LTBP3	AXON CONTRAS
ENSMUSG00000028412	936	Slc44a1	SLC44A1	AXON CONTRAS
ENSMUSG00000005371	937	Fbxo11	FBXO11	AXON CONTRAS
ENSMUSG00000051790	938	Nlgn2	NLGN2	AXON CONTRAS
ENSMUSG00000083783	939	Gm12739	GM12739	AXON CONTRAS
ENSMUSG00000108057	940	Gm44234	GM44234	AXON CONTRAS
ENSMUSG00000019726	941	Lyst	LYST	AXON CONTRAS
ENSMUSG00000108093	942	Gm44102	GM44102	AXON CONTRAS
ENSMUSG00000101823	943	Gm29438	GM29438	AXON CONTRAS
ENSMUSG00000021796	944	Bmpr1a	BMPR1A	AXON CONTRAS
ENSMUSG00000104052	945	Gm38125	GM38125	AXON CONTRAS
ENSMUSG00000014592	946	Camta1	CAMTA1	AXON CONTRAS
ENSMUSG00000034973	947	Dop1a	DOP1A	AXON CONTRAS
ENSMUSG00000108422	948	Gm44765	GM44765	AXON CONTRAS
ENSMUSG00000102702	949	Gm37260	GM37260	AXON CONTRAS
ENSMUSG00000107252	950	Gm5767	GM5767	AXON CONTRAS
ENSMUSG00000064061	951	Dzip3	DZIP3	AXON CONTRAS
ENSMUSG00000030159	952	Clec1b	CLEC1B	AXON CONTRAS
ENSMUSG00000104696	953	Gm42946	GM42946	AXON CONTRAS
ENSMUSG00000108171	954	Gm43915	GM43915	AXON CONTRAS
ENSMUSG00000102142	955	Gm26930	GM26930	AXON CONTRAS
ENSMUSG00000017667	956	Zfp334	ZFP334	AXON CONTRAS
ENSMUSG00000026924	957	Sec16a	SEC16A	AXON CONTRAS
ENSMUSG00000076613	958	Ighg2b	IGHG2B	AXON CONTRAS
ENSMUSG00000030342	959	Cd9	CD9	AXON CONTRAS
ENSMUSG00000004768	960	Rab23	RAB23	AXON CONTRAS
ENSMUSG00000101608	961	Gm28652	GM28652	AXON CONTRAS
ENSMUSG00000020886	962	Dlg4	DLG4	AXON CONTRAS
ENSMUSG00000108378	963	Gm44641	GM44641	AXON CONTRAS
ENSMUSG00000087264	964	Gad1os	GAD1OS	AXON CONTRAS
ENSMUSG00000092394	965	Gm20445	GM20445	AXON CONTRAS
ENSMUSG00000020672	966	Sntg2	SNTG2	AXON CONTRAS
ENSMUSG00000052861	967	Dnah6	DNAH6	AXON CONTRAS
ENSMUSG00000106905	968	Gm42741	GM42741	AXON CONTRAS
ENSMUSG00000047940	969	Stpg2	STPG2	AXON CONTRAS
ENSMUSG00000011305	970	Plin5	PLIN5	AXON CONTRAS
ENSMUSG00000085982	971	9530051G07Rik	9530051G07RIK	AXON CONTRAS
ENSMUSG00000028195	972	Ccn1	CCN1	AXON CONTRAS
ENSMUSG00000024440	973	Pcdh12	PCDH12	AXON CONTRAS
ENSMUSG00000027364	974	Usp50	USP50	AXON CONTRAS
ENSMUSG00000099384	975	1700110C19Rik	1700110C19RIK	AXON CONTRAS
ENSMUSG00000087082	976	Gm15423	GM15423	AXON CONTRAS
ENSMUSG00000086765	977	Gm11827	GM11827	AXON CONTRAS
ENSMUSG00000046111	978	Cep295	CEP295	AXON CONTRAS
ENSMUSG00000034255	979	Arhgap27	ARHGAP27	AXON CONTRAS
ENSMUSG00000046096	980	Mosmo	MOSMO	AXON CONTRAS
ENSMUSG00000071414	981	Gm6736	GM6736	AXON CONTRAS
ENSMUSG00000066829	982	Zfp810	ZFP810	AXON CONTRAS
ENSMUSG00000061577	983	Adgrg5	ADGRG5	AXON CONTRAS
ENSMUSG00000035875	984	AI182371	AI182371	AXON CONTRAS
ENSMUSG00000019820	985	Utrn	UTRN	AXON CONTRAS
ENSMUSG00000041685	986	Fcho2	FCHO2	AXON CONTRAS
ENSMUSG00000097292	987	A230107N01Rik	A230107N01RIK	AXON CONTRAS
ENSMUSG00000014361	988	Mertk	MERTK	AXON CONTRAS
ENSMUSG00000087177	989	E130307A14Rik	E130307A14RIK	AXON CONTRAS
ENSMUSG00000083579	990	Gm15538	GM15538	AXON CONTRAS
ENSMUSG00000105289	991	Gm43483	GM43483	AXON CONTRAS
ENSMUSG00000064451	992	Snora23	SNORA23	AXON CONTRAS
ENSMUSG00000027082	993	Tfpi	TFPI	AXON CONTRAS
