ranking	genes	Gene.name.1	Gene2	Gene.type
822	ENSMUSG00000044349	Snhg11	SNHG11	NA
823	ENSMUSG00000074785	Plxnc1	PLXNC1	NA
824	ENSMUSG00000024558	Mapk4	MAPK4	NA
825	ENSMUSG00000033383	Rtp1	RTP1	NA
826	ENSMUSG00000022696	Sidt1	SIDT1	NA
827	ENSMUSG00000054966	Lmntd1	LMNTD1	NA
828	ENSMUSG00000031788	Kifc3	KIFC3	NA
829	ENSMUSG00000041907	Gpr45	GPR45	NA
830	ENSMUSG00000023022	Lima1	LIMA1	NA
831	ENSMUSG00000027339	Rassf2	RASSF2	NA
832	ENSMUSG00000068263	Efcc1	EFCC1	NA
833	ENSMUSG00000026904	Slc4a10	SLC4A10	NA
834	ENSMUSG00000024521	Pmaip1	PMAIP1	NA
835	ENSMUSG00000026031	Cflar	CFLAR	NA
837	ENSMUSG00000036155	Mgat5	MGAT5	NA
838	ENSMUSG00000026471	Mr1	MR1	NA
839	ENSMUSG00000031841	Cdh13	CDH13	NA
840	ENSMUSG00000053545	6430503K07Rik	6430503K07RIK	NA
841	ENSMUSG00000026482	Rgl1	RGL1	NA
842	ENSMUSG00000030310	Slc6a1	SLC6A1	NA
843	ENSMUSG00000031565	Fgfr1	FGFR1	NA
844	ENSMUSG00000030249	Abcc9	ABCC9	NA
845	ENSMUSG00000086239	Gm14329	GM14329	NA
846	ENSMUSG00000075254	Heg1	HEG1	NA
847	ENSMUSG00000035864	Syt1	SYT1	NA
848	ENSMUSG00000026495	Efcab2	EFCAB2	NA
849	ENSMUSG00000031789	Cngb1	CNGB1	NA
850	ENSMUSG00000057378	Ryr3	RYR3	NA
851	ENSMUSG00000039194	Rlbp1	RLBP1	NA
852	ENSMUSG00000050830	Vwc2	VWC2	NA
853	ENSMUSG00000023965	Fbxl17	FBXL17	NA
854	ENSMUSG00000014813	Stc1	STC1	NA
855	ENSMUSG00000025013	Tll2	TLL2	NA
856	ENSMUSG00000026831	1700007K13Rik	1700007K13RIK	NA
857	ENSMUSG00000034413	Neurl1b	NEURL1B	NA
858	ENSMUSG00000016128	Stard13	STARD13	NA
859	ENSMUSG00000027447	Cst3	CST3	NA
860	ENSMUSG00000097049	6530411M01Rik	6530411M01RIK	NA
861	ENSMUSG00000049001	Ndnf	NDNF	NA
862	ENSMUSG00000032380	Dapk2	DAPK2	NA
863	ENSMUSG00000024302	Dtna	DTNA	NA
864	ENSMUSG00000030994	D7Ertd443e	D7ERTD443E	NA
865	ENSMUSG00000040907	Atp1a3	ATP1A3	NA
867	ENSMUSG00000105387	Gm29681	GM29681	NA
868	ENSMUSG00000030979	Uros	UROS	NA
869	ENSMUSG00000025262	Fam120c	FAM120C	NA
870	ENSMUSG00000058230	Arhgap35	ARHGAP35	NA
871	ENSMUSG00000020218	Wif1	WIF1	NA
872	ENSMUSG00000003062	Stard3nl	STARD3NL	NA
873	ENSMUSG00000025854	Fam20c	FAM20C	NA
874	ENSMUSG00000038042	Ptpdc1	PTPDC1	NA
875	ENSMUSG00000035285	Nat14	NAT14	NA
876	ENSMUSG00000074457	S100a16	S100A16	NA
877	ENSMUSG00000020790	Ankfy1	ANKFY1	NA
878	ENSMUSG00000021838	Samd4	SAMD4	NA
879	ENSMUSG00000027803	Wwtr1	WWTR1	NA
880	ENSMUSG00000040249	Lrp1	LRP1	NA
881	ENSMUSG00000020123	Avpr1a	AVPR1A	NA
882	ENSMUSG00000024403	Atp6v1g2	ATP6V1G2	NA
883	ENSMUSG00000004961	Syt5	SYT5	NA
884	ENSMUSG00000051855	Mest	MEST	NA
885	ENSMUSG00000001999	Blvra	BLVRA	NA
886	ENSMUSG00000001323	Srr	SRR	NA
887	ENSMUSG00000053617	Sh3pxd2a	SH3PXD2A	NA
888	ENSMUSG00000014329	Bicc1	BICC1	NA
889	ENSMUSG00000102692	Dchs2	DCHS2	NA
890	ENSMUSG00000022235	Cmbl	CMBL	NA
891	ENSMUSG00000005611	Irag1	IRAG1	NA
892	ENSMUSG00000038305	Spats2l	SPATS2L	NA
893	ENSMUSG00000052544	St6galnac3	ST6GALNAC3	NA
894	ENSMUSG00000031111	Igsf1	IGSF1	NA
895	ENSMUSG00000104597	B230334C09Rik	B230334C09RIK	NA
896	ENSMUSG00000019873	Reep3	REEP3	NA
897	ENSMUSG00000047454	Gphn	GPHN	NA
898	ENSMUSG00000020231	Dip2a	DIP2A	NA
899	ENSMUSG00000057722	Lepr	LEPR	NA
